date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:16	70/70	---MCZ	200	added ('OK')	text/plain	date:Thu,%2003%20Jan%202019%2019:14:15%20GMT	https://orthocare-egypt.com/robots.txt		(from )
21:14:18	94604/94604	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Jan%202019%2019:14:17%20GMT	https://orthocare-egypt.com/	original/orthocare-egypt.com/index.html	(from )
21:14:21	32439/32439	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Dec%202017%2015:54:31%20GMT	http://orthocare-egypt.com/wp-content/uploads/2017/12/cropped-LOGO.png	original/orthocare-egypt.com/wp-content/uploads/2017/12/cropped-LOGO.png	(from https://orthocare-egypt.com/)
21:14:28	92314/92314	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Dec%202017%2015:52:29%20GMT	http://orthocare-egypt.com/wp-content/uploads/2017/12/LOGO.png	original/orthocare-egypt.com/wp-content/uploads/2017/12/LOGO.png	(from https://orthocare-egypt.com/)
21:14:28	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2003%20Jan%202019%2019:14:21%20GMT	https://orthocare-egypt.com/wp-admin/admin-ajax.php	original/orthocare-egypt.com/wp-admin/admin-ajax.php	(from https://orthocare-egypt.com/)
21:14:28	1606/1606	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Dec%202017%2015:28:38%20GMT	https://orthocare-egypt.com/wp-content/plugins/contact-form-7/includes/css/styles.css	original/orthocare-egypt.com/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://orthocare-egypt.com/)
21:14:29	177/177	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Dec%202017%2015:28:38%20GMT	https://orthocare-egypt.com/wp-content/plugins/contact-form-7/includes/css/styles-rtl.css	original/orthocare-egypt.com/wp-content/plugins/contact-form-7/includes/css/styles-rtl.css	(from https://orthocare-egypt.com/)
21:14:31	2472/2472	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2016:18:26%20GMT	https://orthocare-egypt.com/wp-content/plugins/featured-video-plus/styles/frontend.css	original/orthocare-egypt.com/wp-content/plugins/featured-video-plus/styles/frontend.css	(from https://orthocare-egypt.com/)
21:14:31	10729/10729	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2003%20Jan%202019%2019:14:30%20GMT	https://orthocare-egypt.com/feed/	original/orthocare-egypt.com/feed/index.html	(from https://orthocare-egypt.com/)
21:14:31	30072/30072	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Dec%202017%2015:21:26%20GMT	https://orthocare-egypt.com/wp-content/plugins/revslider/public/assets/css/settings.css	original/orthocare-egypt.com/wp-content/plugins/revslider/public/assets/css/settings.css	(from https://orthocare-egypt.com/)
21:14:31	1666/1666	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2003%20Jan%202019%2019:14:31%20GMT	https://orthocare-egypt.com/comments/feed/	original/orthocare-egypt.com/comments/feed/index.html	(from https://orthocare-egypt.com/)
21:14:31	797/797	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2003%20Jan%202019%2019:14:31%20GMT	https://orthocare-egypt.com/%d8%a7%d9%84%d8%b1%d8%a6%d9%8a%d8%b3%d9%8a%d8%a9/feed/	original/orthocare-egypt.com/%d8%a7%d9%84%d8%b1%d8%a6%d9%8a%d8%b3%d9%8a%d8%a9/feed/index.html	(from https://orthocare-egypt.com/)
21:14:32	42829/42829	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2016:55:23%20GMT	https://orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/catalogue-style.css	original/orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/catalogue-style.css	(from https://orthocare-egypt.com/)
21:14:33	7015/7015	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2016:55:23%20GMT	https://orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/catalogue-style-mobile.css	original/orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/catalogue-style-mobile.css	(from https://orthocare-egypt.com/)
21:14:34	33333/33333	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2016:55:23%20GMT	https://orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/upcp-jquery-ui.css	original/orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/upcp-jquery-ui.css	(from https://orthocare-egypt.com/)
21:14:35	2803/2803	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2016:55:23%20GMT	https://orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/rtl-style.css	original/orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/rtl-style.css	(from https://orthocare-egypt.com/)
21:14:37	74619/74619	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Jan%202019%2019:14:36%20GMT	https://orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/catalogue-style-.css	original/orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/css/catalogue-style-.css	(from https://orthocare-egypt.com/)
21:14:37	420/420	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/style.css	original/orthocare-egypt.com/wp-content/themes/betheme/style.css	(from https://orthocare-egypt.com/)
21:14:38	57713/57713	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/css/base.css	original/orthocare-egypt.com/wp-content/themes/betheme/css/base.css	(from https://orthocare-egypt.com/)
21:14:40	114354/114354	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/css/layout.css	original/orthocare-egypt.com/wp-content/themes/betheme/css/layout.css	(from https://orthocare-egypt.com/)
21:14:40	138737/138737	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/css/shortcodes.css	original/orthocare-egypt.com/wp-content/themes/betheme/css/shortcodes.css	(from https://orthocare-egypt.com/)
21:14:42	58508/58508	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/assets/animations/animations.min.css	original/orthocare-egypt.com/wp-content/themes/betheme/assets/animations/animations.min.css	(from https://orthocare-egypt.com/)
21:14:42	19600/19600	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/assets/ui/jquery.ui.all.css	original/orthocare-egypt.com/wp-content/themes/betheme/assets/ui/jquery.ui.all.css	(from https://orthocare-egypt.com/)
21:14:43	10145/10145	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/assets/jplayer/css/jplayer.blue.monday.css	original/orthocare-egypt.com/wp-content/themes/betheme/assets/jplayer/css/jplayer.blue.monday.css	(from https://orthocare-egypt.com/)
21:14:44	55464/55464	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/css/responsive.css	original/orthocare-egypt.com/wp-content/themes/betheme/css/responsive.css	(from https://orthocare-egypt.com/)
21:14:47	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	https://orthocare-egypt.com/wp-includes/js/jquery/jquery-migrate.min.js	original/orthocare-egypt.com/wp-includes/js/jquery/jquery-migrate.min.js	(from https://orthocare-egypt.com/)
21:14:47	97184/97184	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202016%2009:00:29%20GMT	https://orthocare-egypt.com/wp-includes/js/jquery/jquery.js	original/orthocare-egypt.com/wp-includes/js/jquery/jquery.js	(from https://orthocare-egypt.com/)
21:14:48	1716/1716	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2016:18:26%20GMT	https://orthocare-egypt.com/wp-content/plugins/featured-video-plus/js/jquery.fitvids.min.js	original/orthocare-egypt.com/wp-content/plugins/featured-video-plus/js/jquery.fitvids.min.js	(from https://orthocare-egypt.com/)
21:14:49	2684/2684	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2016:18:26%20GMT	https://orthocare-egypt.com/wp-content/plugins/featured-video-plus/js/frontend.min.js	original/orthocare-egypt.com/wp-content/plugins/featured-video-plus/js/frontend.min.js	(from https://orthocare-egypt.com/)
21:14:51	110563/110563	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2031%20Dec%202017%2015:21:26%20GMT	https://orthocare-egypt.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	original/orthocare-egypt.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	(from https://orthocare-egypt.com/)
21:14:51	64792/64792	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2031%20Dec%202017%2015:21:26%20GMT	https://orthocare-egypt.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	original/orthocare-egypt.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	(from https://orthocare-egypt.com/)
21:14:52	4000/4000	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2005:40:34%20GMT	https://orthocare-egypt.com/wp-includes/js/jquery/ui/core.min.js	original/orthocare-egypt.com/wp-includes/js/jquery/ui/core.min.js	(from https://orthocare-egypt.com/)
21:14:53	6908/6908	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2005:40:34%20GMT	https://orthocare-egypt.com/wp-includes/js/jquery/ui/widget.min.js	original/orthocare-egypt.com/wp-includes/js/jquery/ui/widget.min.js	(from https://orthocare-egypt.com/)
21:14:54	3148/3148	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2005:40:34%20GMT	https://orthocare-egypt.com/wp-includes/js/jquery/ui/mouse.min.js	original/orthocare-egypt.com/wp-includes/js/jquery/ui/mouse.min.js	(from https://orthocare-egypt.com/)
21:14:55	10987/10987	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2005:40:34%20GMT	https://orthocare-egypt.com/wp-includes/js/jquery/ui/slider.min.js	original/orthocare-egypt.com/wp-includes/js/jquery/ui/slider.min.js	(from https://orthocare-egypt.com/)
21:14:59	74619/74619	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Jan%202019%2019:14:57%20GMT	https://orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/js/catalogue-style-.js	original/orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/js/catalogue-style-.js	(from https://orthocare-egypt.com/)
21:14:59	32852/32852	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2016:55:23%20GMT	https://orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/js/upcp-jquery-functions.js	original/orthocare-egypt.com/wp-content/plugins/ultimate-product-catalogue/js/upcp-jquery-functions.js	(from https://orthocare-egypt.com/)
21:15:00	854/854	---M-Z	200	added ('OK')	text/xml	date:Thu,%2003%20Jan%202019%2019:15:00%20GMT	https://orthocare-egypt.com/xmlrpc.php?rsd	original/orthocare-egypt.com/xmlrpc0db0.php	(from https://orthocare-egypt.com/)
21:15:02	103618/103618	---M-Z	200	added ('OK')	application/json	date:Thu,%2003%20Jan%202019%2019:15:01%20GMT	https://orthocare-egypt.com/wp-json/	original/orthocare-egypt.com/wp-json/index.html	(from https://orthocare-egypt.com/)
21:15:02	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://orthocare-egypt.com/wp-includes/wlwmanifest.xml	original/orthocare-egypt.com/wp-includes/wlwmanifest.xml	(from https://orthocare-egypt.com/)
21:15:03	30632/30632	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Nov%202017%2013:46:12%20GMT	https://orthocare-egypt.com/wp-content/themes/betheme/rtl.css	original/orthocare-egypt.com/wp-content/themes/betheme/rtl.css	(from https://orthocare-egypt.com/)
21:15:04	2440/2440	---M-Z	200	added ('OK')	application/json	date:Thu,%2003%20Jan%202019%2019:15:04%20GMT	https://orthocare-egypt.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Forthocare-egypt.com%2F	original/orthocare-egypt.com/wp-json/oembed/1.0/embed2808.json	(from https://orthocare-egypt.com/)
21:15:05	2672/2672	---M-Z	200	added ('OK')	text/xml	date:Thu,%2003%20Jan%202019%2019:15:05%20GMT	https://orthocare-egypt.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Forthocare-egypt.com%2F&format=xml	original/orthocare-egypt.com/wp-json/oembed/1.0/embed3093	(from https://orthocare-egypt.com/)
21:15:08	26716/26716	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Dec%202017%2015:29:34%20GMT	http://orthocare-egypt.com/wp-content/uploads/2016/05/home_car_subheader.png	original/orthocare-egypt.com/wp-content/uploads/2016/05/home_car_subheader.png	(from https://orthocare-egypt.com/)
